"0, 0, 0, 0"
"6, 3, 0, 3"
"0, 0, 0, 0"
"2, 1, 1, 0"
"1, 1, 0, 0"
"1, 1, 0, 0"
"0, 0, 0, 0"
"7, 5, 0, 2"
"2, 1, 1, 0"
"0, 0, 0, 0"
"3, 0, 1, 2"
"0, 0, 0, 0"
"2, 1, 1, 0"
"0, 0, 0, 0"
"1, 1, 0, 0"
"5, 2, 0, 3"
"1, 1, 0, 0"
"5, 4, 1, 0"
"5, 2, 0, 3"
"3, 2, 0, 1"
"5, 2, 1, 2"
"0, 0, 0, 0"
"2, 1, 0, 1"
"0, 0, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"6, 3, 0, 3"
"0, 0, 0, 0"
"6, 3, 0, 3"
"2, 1, 1, 0"
"1, 1, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"1, 1, 0, 0"
"0, 0, 0, 0"
"1, 1, 0, 0"
"3, 3, 0, 0"
"5, 1, 2, 2"
"0, 0, 0, 0"
"1, 1, 0, 0"
"5, 2, 1, 2"
"2, 1, 1, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"5, 2, 0, 3"
"3, 3, 0, 0"
"0, 0, 0, 0"
"5, 4, 0, 1"
"2, 1, 1, 0"
"2, 1, 1, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"2, 2, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"8, 4, 1, 3"
"0, 0, 0, 0"
"1, 1, 0, 0"
"0, 0, 0, 0"
"5, 4, 1, 0"
"1, 1, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"4, 3, 0, 1"
"2, 1, 1, 0"
"8, 7, 0, 1"
"5, 4, 1, 0"
"6, 3, 0, 3"
"0, 0, 0, 0"
"0, 0, 0, 0"
"3, 2, 1, 0"
"4, 2, 0, 2"
"0, 0, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"1, 1, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"1, 1, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"1, 1, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"1, 0, 0, 1"
"0, 0, 0, 0"
"2, 1, 0, 1"
"0, 0, 0, 0"
"3, 2, 0, 1"
"0, 0, 0, 0"
"3, 2, 0, 1"
"0, 0, 0, 0"
"1, 0, 0, 1"
"0, 0, 0, 0"
"3, 2, 0, 1"
"0, 0, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"3, 2, 0, 1"
"1, 0, 0, 1"
"0, 0, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"1, 1, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"3, 2, 0, 1"
"0, 0, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"1, 0, 0, 1"
"0, 0, 0, 0"
"3, 2, 0, 1"
"3, 2, 0, 1"
"3, 2, 0, 1"
"0, 0, 0, 0"
"1, 0, 0, 1"
"0, 0, 0, 0"
"3, 2, 0, 1"
"0, 0, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"3, 2, 0, 1"
"0, 0, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"1, 1, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"1, 0, 0, 1"
"0, 0, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"0, 0, 0, 0"
"1, 0, 0, 1"
"2, 1, 0, 1"
"0, 0, 0, 0"
