NearestPond,Type
825.3239717463199,0
833.8605131972306,0
846.4730830486145,0
862.9828166924283,0
883.1709645212135,0
906.7916122003809,0
933.5839473966628,0
963.2830067005735,0
995.6283167254464,0
957.2931691002123,0
904.6170231968181,0
852.4786050904833,0
800.9841144578425,0
750.2673261063027,0
700.4983419334563,0
651.895423744125,0
604.7409094810334,0
559.4022902417262,0
516.3591736935657,0
476.23538697528005,0
439.83154212404105,0
408.145081897728,0
380.9937978567808,0
350.03915852215766,2
317.8391554991513,2
293.3197807963939,2
278.5175192644131,2
275.0062597736754,2
283.20634872880726,2
302.1656760310228,2
330.03484588843287,2
364.77690895621737,2
404.62475490281076,2
448.2180053579627,2
494.5664869787205,2
542.9642737238378,2
583.6219565013987,2
574.0908244181697,2
569.4388005262531,2
570.3530442505436,2
576.8070685888624,2
588.6185373227379,2
591.252289944649,0
573.3864727149306,0
560.6565296313321,0
537.8123948833058,2
511.2368859105829,2
489.799578248483,2
458.0954769069146,2
428.2539287461928,2
404.2493841282916,2
387.1695903316184,2
377.95487708019897,2
377.1823206885748,2
379.2242509094859,2
376.72517404046835,2
382.752761287174,2
396.91862656723805,2
418.3966864945919,2
446.1316919547466,2
479.0375732732409,2
516.1256490956256,2
556.559778901305,2
599.6627395920696,2
644.898822486556,2
691.8488900678731,2
740.1859776374574,2
789.6545028994585,2
837.667729672809,1
814.2182488266673,1
794.0231202578534,1
777.3365146857885,1
764.3886387289216,1
755.3720813885054,1
750.4287750778095,1
749.6394195487884,1
753.017096407507,1
760.5062083644691,1
771.986937967077,1
787.2844193000351,1
806.181066448815,1
828.4302005943166,1
853.7692702717669,1
881.9314194384411,1
912.6547233704035,1
945.6889174078805,1
980.7998013108995,1
1017.7716987016879,1
1056.4084171230602,1
1096.5331348234727,1
1137.9875767270573,1
1180.6307637829718,1
1224.3375446104803,1
1268.9970544142864,1
1314.511195982606,1
1360.793200456207,1
1407.76629936244,1
1455.3625217211193,1
1503.5216186252917,1
1534.1596136520973,2
851.6358585043704,0
859.8964654272914,0
872.1107986202109,0
888.1155799233319,0
907.7101160649813,0
930.6674329912474,0
956.7451828442204,0
985.6953853260864,0
1000.6027784967591,0
947.0366708259216,0
893.8689245043461,0
841.1762974688925,0
789.0551910273193,0
737.6279695453715,0
687.0516588627944,0
637.5299816334441,0
589.3300211417868,0
542.8051227174652,0
498.42567636626393,0
456.8184483906697,0
418.81146882360565,0
385.4720489991192,0
358.10698626234444,0
327.14831939168613,0
295.16635215107107,2
268.64172780802613,2
252.43035585327735,2
248.55877846805842,2
257.5840883547801,2
278.2539860397497,2
308.23432101733084,2
345.1065839270509,2
386.9047243137202,2
432.201239059565,2
480.00597736253366,2
529.639370868226,2
558.3848559821868,2
547.8473646939347,2
542.9808028222735,2
543.9375118474492,2
550.6871213574921,2
563.0211851317674,2
566.5458550332734,0
547.9146823241848,0
534.6067585554671,0
515.0692358369743,2
487.31414140624304,2
464.82255908698016,2
436.440667886292,2
405.0737393628573,2
379.6602495682179,2
361.45869177292326,2
351.591323196817,2
350.7624127751532,2
352.94705915888903,2
350.26608386823665,2
356.7278378038547,2
371.8558771346919,2
394.65456847674125,2
423.887591373809,2
458.3248608921272,2
496.8848527626771,2
538.6822400427448,2
583.0203842094411,2
629.3617028849623,2
677.2942728155292,2
726.502299624223,2
776.7424804427469,2
813.8856359510233,1
789.7826705053319,1
768.9911324010394,1
751.7863213172856,1
738.4194018363141,1
729.1018093105447,1
723.9901235406539,1
723.1736574190794,1
726.6669081455075,1
734.4082994346361,1
746.265461278366,1
762.0460285592338,1
781.512012550038,1
804.3954644495083,1
830.4133980199201,1
859.2805558673466,1
890.7193190078639,1
924.4666650830861,1
960.2784822808503,1
997.9317434331244,1
1037.2250879304736,1
1077.9783094325653,1
1120.0311558284172,1
1163.2417481915381,1
1207.4848356899531,1
1252.6500307441486,1
1298.6401140113715,1
1345.3694598044442,1
1392.7626061031622,1
1440.7529762027184,1
1481.1139626000327,2
1511.921615709549,2
877.9573579038034,0
885.9581505208085,0
897.7966860862942,0
913.3235797052682,0
932.3543665962377,0
954.6792693904031,0
980.0729039110189,0
1008.3031008332957,0
991.3883745443829,0
937.411027084217,0
883.778920863222,0
830.5601791986802,0
777.8408878794605,0
725.7311294880693,0
674.3734387951962,0
623.954762159881,0
574.7234787096526,0
527.01363153311,0
481.2790451938369,0
438.1398148764317,0
398.4408766952698,0
363.31270111036355,0
334.20056370780253,0
304.6885215530274,0
273.1774924507333,2
244.33941771892674,2
226.43264984113145,2
